L,group,strategy,num_qubits,cx,depth,chsh_ideal,p_noisy_e0e1
1,ideal,static_ideal,2,1,2,2.828427,
1,ideal,zigzag_ideal,4,5,6,2.828427,
1,ideal,swapping_ideal,2,1,3,2.828427,
3,ideal,static_ideal,4,5,6,2.828427,
3,ideal,zigzag_ideal,8,13,14,2.828427,
3,ideal,swapping_ideal,4,3,5,2.828427,
5,ideal,static_ideal,6,9,10,2.828427,
5,ideal,zigzag_ideal,12,21,22,2.828427,
5,ideal,swapping_ideal,6,5,5,2.828427,
7,ideal,static_ideal,8,13,14,2.828427,
7,ideal,zigzag_ideal,16,29,30,2.828427,
7,ideal,swapping_ideal,8,7,5,2.828427,
9,ideal,static_ideal,10,17,18,2.828427,
9,ideal,zigzag_ideal,20,37,38,2.828427,
9,ideal,swapping_ideal,10,9,5,2.828427,
1,end_meas_A,static_noisy,2,1,2,,0.932373
1,end_meas_A,zigzag_noisy,4,5,6,,0.914673
3,end_meas_A,static_noisy,4,5,6,,0.917725
3,end_meas_A,zigzag_noisy,8,13,14,,0.884277
5,end_meas_A,static_noisy,6,9,10,,0.901123
5,end_meas_A,zigzag_noisy,12,21,22,,0.866821
7,end_meas_A,static_noisy,8,13,14,,0.891846
7,end_meas_A,zigzag_noisy,16,29,30,,0.838013
1,swap_decode_B,swapping_noisy,2,1,4,,0.906982
3,swap_decode_B,swapping_noisy,4,3,7,,0.844727
5,swap_decode_B,swapping_noisy,6,5,10,,0.773315
7,swap_decode_B,swapping_noisy,8,7,13,,0.718872
